Sample Number,Variety,endo,Source notes,year,location,Extra Notes
14A0781,Wh95016a,sh2,not found in compliation or diversity panel,2014,New York,
14A0784,Wh10804R,sh2,Red @6,2014,New York,
14A0789,If825,sh2,looked at seed. Definitely sh2,2014,New York,
14A0792,Wh00033,sh2,not found in compliation or diversity panel,2014,New York,
14A0095,Wuh07177i,sh2i,(Ct1001 x FaHT32B sh2-I)Ct1001 {3}@5 susu ii,2014,New York,
14A0109,Wuh09144i,sh2i,Fa56A  sh2-i/+ x Ct1402) {@10} sh2 i/i  su/su,2014,New York,
14A0146,Wuh09093i,sh2i,(Fa56A-i xCt1401)5@i/isu/su)x(Ct1403x(Fa56sh2ixCt1402)]@@Su/-ii)@,2014,New York,
14A0150,Wuh09183i,sh2i,98136 x  (Fa56sh2ixCt1401)iisusu)  {@7},2014,New York,
14A0170,Wuh09098i,sh2i,(Fa56A-i xCt1401)6@ i/isu/su)x(Ct1411(Crh24/Fa56a-i)]@@Su/- ii))@@,2014,New York,
14A0180,Wuh09150i,sh2i,(Ct1402 x FaHt32B sh2-i/ sh2-R) {@11} i/i su/su,2014,New York,
14A0181,Wuh09097i,sh2i,((Fa56A-i xCt1401)5@i/isu/su?)x(Ct1411x(Crh24xFa56ash2i)]@@Su/-ii))@@,2014,New York,
