"GenoName","Sucrose"
"Ames27444",5.701992
"Ames27444",22.9210434
"Ames27444",12.246582
"Ames27444",21.8631172
"Ames27444",23.1357765
"Ames27444",17.3004761
"IL733a",15.2681999
"IL733a",9.6765022
"IL733a",21.3557549
"IL733a",3.2762566
"IL733a",13.1082878
"IL733a",7.1986275
"IL733a",0.2858887
"IL744a",22.8514404
"IL744a",16.9276352
"IL744a",17.5047302
"IL744a",16.5919533
"IL744a",18.6057167
"IL744a",14.4863663
"IL747b",17.5245399
"IL747b",10.0654945
"IL747b",8.1597443
"IL747b",16.5732536
"IL747b",3.092205
"IL747b",7.1835709
"IL747b",15.2576447
"IL747b",14.7680626
"IL747b",14.67453
"IL747b",15.1651306
"IL751a",13.3909035
"IL751a",16.2388954
"IL751a",15.3163643
"IL751a",15.4678192
"IL747b",9.2372932
"IL747b",5.3295021
"IL747b",11.359745
"IL747b",5.8297462
"IL747b",6.8623695
"IL747b",14.6135406
"IL747b",9.6129379
"IL761a",NA
"IL761a",9.9433784
"IL761a",6.6526031
"IL761a",11.4548683
"IL761a",9.0332451
"IL764b",20.8003578
"IL764b",18.6049843
"IL764b",19.8515739
"IL764b",15.2260246
"IL764b",18.9949646
"IL764b",14.9808235
"IL765a",18.6052284
"IL765a",13.066597
"IL765a",5.1443748
"IL765a",18.1316624
"IL765a",10.9083176
"IL765a",19.9937782
"IL766a",18.527935
"IL766a",24.331974
"IL766a",19.8043175
"IL766a",24.4551048
"IL766a",15.6274834
"IL766a",10.409008
"IL766a",20.1556091
"IL766a",21.6371078
"IL766a",3.5181179
"IL766a",13.681694
"Ames27445",18.7722549
"Ames27445",20.6317406
"Ames27445",21.0678825
"Ames27445",15.6995392
"Ames27445",17.3561211
"Ames27445",13.1324501
"Ames27445",12.8011131
"IL772a",16.4980927
"IL772a",15.5642967
"IL772a",5.8003235
"IL772a",18.1788597
"IL772a",13.5099716
"IL772a",16.2863159
"IL772a",15.3431854
"IL772a",13.6449471
"IL772a",10.8587723
"IL772a",18.6009979
"IL773a",6.7188492
"IL773a",6.3162308
"IL773a",0
"IL773a",0
"IL773a",5.2599068
"IL773a",9.1873131
"IL775a",22.5895157
"IL775a",17.1149406
"IL775a",22.6826324
"IL775a",25.6681595
"IL775a",22.2562943
"IL776a",5.555397
"IL776a",10.108532
"IL776a",17.257225
"IL776a",15.1910591
"IL776a",15.5409355
"IL776a",5.3154182
"IL776a",13.120163
"IL777a",21.3620071
"IL777a",23.0379143
