SampleLabel,Inbred,superblock,block,rep,Row,Col,Check,IsFill,IsExperimental,Year,Location,NIRBase,FileSource,,,,,,
699,A10579,2,32,2,69,1,99,1,1,2015,Wisconsin,15W699,Wi_plot_line_2015_rep2,,,,,,
700,F2,2,32,2,70,1,99,1,1,2015,Wisconsin,15W700,Wi_plot_line_2015_rep2,,,,,,
701,Wh10231V,2,32,2,70,2,99,1,1,2015,Wisconsin,15W701,Wi_plot_line_2015_rep2,,,,,,
702,R839,2,32,2,70,3,99,1,1,2015,Wisconsin,15W702,Wi_plot_line_2015_rep2,,,,,,
703,Ia2256,2,32,2,70,4,99,1,1,2015,Wisconsin,15W703,Wi_plot_line_2015_rep2,,,,,,
704,Check2,2,32,2,70,5,2,1,0,2015,Wisconsin,15W704,Wi_plot_line_2015_rep2,,,,,,
705,MDM-8,2,33,2,70,6,99,1,1,2015,Wisconsin,15W705,Wi_plot_line_2015_rep2,,,,,,
706,SD829,2,33,2,70,7,99,1,1,2015,Wisconsin,15W706,Wi_plot_line_2015_rep2,,,,,,
707,Fa56A,2,33,2,70,8,99,1,1,2015,Wisconsin,15W707,Wi_plot_line_2015_rep2,,,,,,
708,Wh10173V,2,33,2,70,9,99,1,1,2015,Wisconsin,15W708,Wi_plot_line_2015_rep2,,,,,,
709,C27red,2,33,2,70,10,99,1,1,2015,Wisconsin,15W709,Wi_plot_line_2015_rep2,,,,,,
710,Wh09075,2,33,2,71,10,99,1,1,2015,Wisconsin,15W710,Wi_plot_line_2015_rep2,,,,,,
711,Wuh07183i,2,33,2,71,9,99,1,1,2015,Wisconsin,15W711,Wi_plot_line_2015_rep2,,,,,,
712,EP58,2,33,2,71,8,99,1,1,2015,Wisconsin,15W712,Wi_plot_line_2015_rep2,,,,,,
713,If825,2,33,2,71,7,99,1,1,2015,Wisconsin,15W713,Wi_plot_line_2015_rep2,,,,,,
714,We05410,2,33,2,71,6,99,1,1,2015,Wisconsin,15W714,Wi_plot_line_2015_rep2,,,,,,
715,R825,2,33,2,71,5,99,1,1,2015,Wisconsin,15W715,Wi_plot_line_2015_rep2,,,,,,
716,IL761a,2,33,2,71,4,99,1,1,2015,Wisconsin,15W716,Wi_plot_line_2015_rep2,,,,,,
