"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Variety","Edit"
"85","1795","14W32112",20.4764214,32.3341064,9.7544937,4.9643869,2.4465833,-3.8349991,2.0986185,"SC6069","Sucrose Nulled"
"86","964","14NY0873-1",46.0988579,36.0317612,0,6.2647729,7.947413,-3.0304413,10.8873043,"A7","Sucrose Zeroed"
"87","963","14NY0873",45.7703171,35.7124557,0,6.2315307,8.0018387,-2.9234924,11.0519543,"A7","Sucrose Zeroed"
"88","1057","14W30468-14",33.9988289,35.884491,0,5.2920036,5.5585756,-2.91259,11.0598011,"A7","Sucrose Zeroed"
"89","1742","14W32026",11.3309784,25.5827141,15.7233887,5.1974201,4.2670498,-2.8831367,2.5452061,"Ind. 5817","Sucrose Nulled"
"90","1905","14W32341",0,24.9099846,26.5711899,5.7542319,3.8084197,-2.4399567,1.3515921,"EP58","Sucrose Zeroed"
"91","1359","14W31249",5.9657478,23.0961876,18.3615799,4.6956534,2.9496324,-2.4296265,4.3794632,"34f","Sucrose Nulled"
"92","1056","14W30468-1",35.6438141,36.932518,0,5.2871966,5.667016,-2.416893,10.78619,"A7","Sucrose Zeroed"
"93","340","14NY0316-1",23.30373,27.8362999,3.7167587,4.9207201,4.2181559,-2.3754311,8.1543369,"Wu99811","Sucrose Zeroed"
"94","1306","14W31101-1",9.8096504,22.8179741,11.6821213,4.885211,4.7333422,-2.0142632,12.8048878,"G8","Sucrose Zeroed"
"95","1515","14W31544",18.00967405,41.4604187,22.58335115,3.1598064,3.1083945,-1.71942135,-2.0078993,"IL761a","Sucrose Nulled"
"96","965","14NY0873-2",43.6019287,34.8346405,0,5.6689725,7.1670918,-1.4410934,12.10952,"A7","Sucrose Zeroed"
"97","560","14NY0520-1",44.4026909,42.378067,0,3.6809311,4.5885468,-1.0420151,7.4543858,"ND1","Sucrose Nulled"
"98","2700","15W2544-2",35.9806519,NA,NA,6.0461454,4.8661156,-0.8023224,11.6536217,"A7","Sucrose Zeroed"
"99","1481","14W31503-1",31.1460419,34.5545502,0.1935501,5.6769753,5.4752593,-0.7478561,12.3869705,"A15","Sucrose Zeroed"
"100","1511","14W31530-1",23.6517143,29.2346001,2.4124756,5.1160402,4.7953739,-0.6941109,10.4394741,"257A9","Sucrose Zeroed"
"101","1293","14W31072",17.6831017,38.4880066,19.7562485,2.413213,1.983011,-0.4504585,-0.4677124,"W6366","Sucrose Zeroed"
"102","1456","14W31459-1",14.31848905,22.57730485,5.33182145,6.2731819,6.0024099,-0.42988965,14.8451576,"A685su","Sucrose Zeroed"
"103","1503","14W31521",13.6629677,30.714241,16.1686707,3.2334127,1.7704701,-0.397644,2.090704,"IL773a","Sucrose Zeroed"
"104","1516","14W31545",8.2541656,26.2761955,18.16819,3.457644,1.6663527,-0.3732719,3.5713787,"Check2","Sucrose Zeroed"
"105","1603","14W31712",6.5435104,27.4339027,21.1281204,3.2368002,1.6818528,-0.3015518,3.7713623,"Check2","Sucrose Zeroed"
"106","1739","14W31957-1",6.2032738,9.0125465,2.8073807,8.9097366,7.2727785,-0.223793,20.7932625,"IL773a","Sucrose Zeroed"
"107","1889","14W32321-1",12.1113129,28.9656143,15.7626495,4.9852276,3.8603647,-0.1542244,10.0305023,"C65","Sucrose Zeroed"
"108","1403","14W31319",8.6575661,27.5252914,19.3186035,3.613785,2.0198224,-0.1384392,3.8817329,"Check2","Sucrose Zeroed"
"109","1171","14W30843",11.8816223,26.5445786,14.8952026,3.1265743,1.8730068,-0.1359863,3.1056881,"Check2","Sucrose Zeroed"
"110","69","14NY0048-1",30.4249802,32.7306442,1.3464584,3.2670913,4.5670786,-0.0656357,8.2432938,"W3742","Sucrose Zeroed"
"111","1631","14W31741-1",12.64077,22.7700386,8.9380569,4.7733259,4.0160627,-0.0180054,11.1224098,"Check2","Sucrose Zeroed"
"112","1964","14W32479",15.0120163,32.4831467,17.0258102,2.2680898,1.6401205,-0.0049553,1.7012033,"A10579","Sucrose Nulled"
"113","1154","14W30743",19.4402962,44.4094162,26.1566696,2.01123,2.042697,4.6389046,-0.7899351,"LUTHER HILL","Total.Sugar Nulled"
"114","1293","14W31072",17.6831017,38.4880066,19.7562485,2.413213,1.983011,0,-0.4677124,"W6366","Total.Sugar Zeroed"
"115","916","14NY0846-1",49.9397545,NA,NA,0.3508595,5.3388939,18.6074371,14.4388046,"IL14b","Starch Nulled"
"116","296","14NY0262-1",35.5999908,40.0524139,2.5113983,3.2977962,5.0932722,4.5143318,11.9454708,"P39","Starch Nulled"
"117","178","14NY0141-1",32.3958473,42.9050674,9.0999222,2.6318309,4.1597795,6.4528999,12.4899502,"P39a","Starch Nulled"
"118","201","14NY0172-2",31.4535007,31.0985718,3.1396866,3.2177634,5.0134344,7.8668137,16.8697796,"Ma2402","Starch Nulled"
"119","896","14NY0832-2",31.1856976,31.7754822,0.6849442,3.0959296,5.2298284,12.964016,14.8362007,"IL729a","Starch Nulled"
"120","1971","15NY0005",45.3232193,55.01828,9.7317505,1.1135014,1.2199035,8.3724403,9.2530155,"V781","Total.Polysaccharides Nulled"
"121","1510","14W31530",42.7086945,51.7158966,7.9605789,4.3253245,4.5780168,9.0419502,10.047224,"257A9","Total.Polysaccharides Nulled"
