"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Inbred","Edit"
"22","115","14NY0344-1",3.2842245,-4.6411934,-5.098444,7.4276948,8.7175455,36.7051735,52.8431778,"Wuh98032","Total.Polysaccharides Zeroed"
"23","102","14NY0322-2",4.4202423,-3.641716,-4.227766,7.2706604,8.4219131,34.6679268,50.5108719,"Wuh09164i","Total.Polysaccharides Zeroed"
"24","180","14NY0627-1",3.7432165,-3.160974,-4.9963579,7.3507967,8.685317,36.1193008,52.1150436,"Wh00065","Total.Polysaccharides Zeroed"
"25","202","14NY0666-2",2.7438574,-3.0583668,-4.1874485,7.5285826,8.5876551,34.8276749,51.0261383,"Wh01001","Total.Polysaccharides Nulled"
"26","36","14NY0157-1",3.650898,-2.9020104,-4.0080113,7.3371968,8.4928226,34.5764389,50.5476074,"Wh05051","Total.Polysaccharides Zeroed"
"27","73","14NY0269-2",3.0927916,-2.6985154,-3.3427477,7.507308,8.4773083,33.6076355,49.8410645,"Wh10049R","Total.Polysaccharides Nulled"
"28","101","14NY0322",9.4208517,-1.5693431,-4.7536964,6.466732,7.9400568,33.8754845,48.3424034,"Wuh09164i","Total.Polysaccharides Zeroed"
"29","84","14NY0294-2",3.5693779,-1.3927941,-4.6534472,7.413444,8.4690952,34.4743271,50.2772064,"Wh07013","Total.Polysaccharides Zeroed"
"30","58","14NY0226-1",2.8290081,-1.1222105,-4.5052643,7.3801594,8.5593367,34.4977646,50.4153252,"Wh07165R","Total.Polysaccharides Zeroed"
"31","37","14NY0157-2",4.7725201,-1.0084286,-3.4441233,7.1283898,8.1844254,32.7070541,48.2033081,"Wh05051","Total.Polysaccharides Zeroed"
"32","241","14NY0748-2",3.1155844,-0.6743412,-4.4535985,7.4206905,8.518899,34.2011108,50.0962753,"Wh07165R","Total.Polysaccharides Zeroed"
"33","82","14NY0292-2",6.5346718,-0.6042533,-4.9015779,6.8773584,8.2440882,34.234623,49.298912,"Wh05066a","Total.Polysaccharides Zeroed"
"34","215","14NY0693-1",8.8352356,-0.4687672,-4.9140072,6.7036667,8.0212059,33.9593658,48.6185532,"Wuh98032","Total.Polysaccharides Zeroed"
"35","141","14NY0537-2",4.6290016,-0.4361405,-4.0575724,7.0637531,8.3726254,33.6799011,49.2078362,"Wh05051","Total.Polysaccharides Zeroed"
"36","230","14NY0729-2",5.5669174,-0.4173121,-4.5636988,7.1546516,8.3589611,34.1200676,49.5783615,"Wh10113R","Total.Polysaccharides Zeroed"
"37","165","14NY0600-1",4.9443407,-0.4136028,-3.5357265,7.3915482,8.2857552,32.8125496,48.5961571,"Wh07020a","Total.Polysaccharides Zeroed"
"38","94","14NY0308-2",5.725913,-0.2809501,-4.5320225,7.1214247,8.3410587,34.0511322,49.4669762,"Wh10113R","Total.Polysaccharides Zeroed"
"39","115","14NY0344-1",3.2842245,0,-5.098444,7.4276948,8.7175455,36.7051735,52.8431778,"Wuh98032","WSP Zeroed"
