"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Variety","Edit"
"358","162","14NY0608-1",11.1784048,17.5455894,-0.4764658,6.6065111,6.7090979,20.6474018,33.9597397,"Wh94053","WSP Zeroed"
"359","686","15W3170-2",18.2580223,21.932806,-0.4759939,5.6195822,6.0667315,18.6262398,30.33918,"Wh98044","WSP Zeroed"
"360","46","14NY0198-2",15.4702272,10.7411194,-0.4691415,6.1967306,6.6962962,23.2733326,36.5791016,"Wh10035R","WSP Nulled"
"361","523","15NY0393",23.4245911,22.9729061,-0.4641005,5.0047722,5.6018257,17.5244865,28.2003613,"Wh10006R","WSP Nulled"
"362","284","14W31121",34.8372231,40.080925,-0.4622049,3.6601076,3.4671726,7.2844219,13.6816673,"Wuh07177i","WSP Zeroed"
"363","532","15NY0471",25.2857857,21.6135273,-0.4579549,4.5542793,5.3179216,16.7445679,26.8293152,"Wh92047","WSP Zeroed"
"364","509","15NY0311",33.9684677,30.5366249,-0.4504017,3.4955082,4.3637156,12.7002716,20.4836712,"Wh10804R","WSP Zeroed"
"365","36","14NY0162-1",8.4285612,12.5055466,-0.4402018,7.0096235,7.3580666,23.8621635,38.468853,"Wh09075","WSP Nulled"
"366","20","14NY0117-1",12.3145819,11.6860352,-0.4254667,6.5809941,6.8713198,22.9937286,36.7720718,"Wh04020a","WSP Zeroed"
"367","62","14NY0239-1",12.8903246,20.476696,-0.4003006,6.7376671,6.7259746,20.1445541,33.5376244,"Wh00033","WSP Zeroed"
"368","67","14NY0250-1",15.5275302,13.4691553,-0.39439235,5.82619715,6.25623465,21.02413465,33.413435,"Wh03031","WSP Zeroed"
"369","645","15W2731",29.470089,27.9715767,-0.3799185,3.8687773,4.836256,14.1661987,22.9127369,"Wh92047","WSP Zeroed"
"370","668","15W2968-1",15.2945528,22.9180832,-0.3777225,6.2578773,6.2361479,18.2881966,30.6860561,"Wh07165R","WSP Zeroed"
"371","137","14NY0540-2",13.3828897,21.5814877,-0.369619,6.7104454,6.2510138,17.9696579,30.7402954,"Wh10163","WSP Nulled"
"372","32","14NY0156-1",23.026104,26.3185883,-0.354704,5.2495341,5.5340824,15.8808498,26.5339851,"Wh10802R","WSP Zeroed"
"373","426","14W32309-1",17.1294937,26.1967201,-0.35452,6.1605368,5.9047718,15.9271297,27.7399712,"A632","WSP Zeroed"
"374","424","14W32307",34.3781967,39.9684715,-0.3433017,3.7318673,3.4624262,7.1756496,13.6619492,"Wuh08127i","WSP Zeroed"
